# Last update: Thu, 30 May 2019 23:00:15 +0200
#
# IP	number of (black)lists
#
171.25.193.77	12
171.25.193.78	11
171.25.193.20	11
197.231.221.211	11
171.25.193.25	10
80.82.77.33	9
89.248.172.169	9
103.79.141.158	9
183.230.146.26	9
199.87.154.255	9
198.98.60.66	9
134.209.175.214	9
166.70.207.2	9
176.10.104.240	9
80.82.77.139	9
171.25.193.235	9
65.19.167.131	9
64.113.32.29	9
37.187.129.166	9
89.248.172.16	9
85.248.227.165	9
185.100.87.207	9
128.199.46.189	8
167.99.38.73	8
89.234.157.254	8
134.209.175.199	8
178.73.215.171	8
134.209.84.42	8
134.209.82.3	8
128.199.55.17	8
176.31.208.193	8
145.249.107.10	8
223.100.123.8	8
162.213.3.221	8
198.96.155.3	8
185.107.47.171	8
206.189.128.225	8
46.165.245.154	8
165.227.75.114	8
109.201.133.100	8
158.69.192.200	8
222.187.254.189	8
185.165.168.229	8
192.42.116.16	8
113.255.21.140	8
185.220.101.46	8
18.85.192.253	8
193.32.163.89	8
85.248.227.163	8
159.65.151.151	8
98.235.133.140	8
207.244.70.35	8
178.62.127.90	8
104.244.73.126	8
165.227.46.17	8
142.93.153.153	8
65.19.167.132	8
185.244.25.205	8
80.82.70.118	8
35.0.127.52	8
80.67.172.162	8
134.209.219.47	8
138.197.162.115	8
42.61.24.202	8
128.199.47.29	8
68.183.89.236	8
142.93.157.35	8
142.93.157.67	8
159.89.237.34	8
62.102.148.68	8
62.102.148.67	8
5.199.130.188	8
108.53.62.148	8
159.65.145.206	8
142.93.153.234	8
192.160.102.166	8
178.62.98.15	8
221.13.68.195	8
194.36.173.3	8
185.142.236.34	8
62.210.105.116	8
137.74.167.96	8
101.227.64.169	8
128.199.220.232	7
51.15.53.83	7
218.60.28.126	7
137.74.169.241	7
159.65.148.178	7
119.96.203.34	7
185.117.215.9	7
118.33.75.186	7
164.132.51.91	7
78.109.23.2	7
71.6.199.23	7
36.155.2.246	7
144.217.90.68	7
185.107.47.215	7
223.111.139.239	7
175.195.45.85	7
196.52.43.60	7
196.52.43.61	7
196.52.43.63	7
94.102.49.190	7
5.196.66.162	7
174.114.231.16	7
59.20.205.178	7
206.189.232.13	7
88.174.4.30	7
194.105.205.42	7
185.220.101.5	7
185.220.101.3	7
204.48.24.78	7
89.31.57.5	7
165.22.122.205	7
165.22.122.204	7
206.189.181.86	7
51.15.43.205	7
167.99.184.182	7
185.220.101.44	7
71.6.146.186	7
71.6.146.185	7
80.82.64.127	7
185.244.25.218	7
62.210.37.82	7
182.45.201.20	7
162.213.0.243	7
157.230.90.71	7
178.128.240.237	7
178.17.170.196	7
178.17.170.194	7
192.160.102.170	7
185.220.101.28	7
196.52.43.64	7
196.52.43.65	7
185.107.70.202	7
178.175.131.194	7
196.52.43.128	7
94.230.208.147	7
94.102.51.78	7
185.220.101.27	7
185.220.101.22	7
196.52.43.89	7
185.94.111.1	7
163.172.160.182	7
128.199.145.242	7
79.98.162.7	7
185.220.102.8	7
202.100.182.250	7
79.134.234.247	7
196.52.43.114	7
196.52.43.117	7
196.52.43.116	7
174.138.2.157	7
104.248.87.40	7
158.69.217.87	7
77.247.181.162	7
77.247.181.163	7
209.97.142.24	7
46.148.20.25	7
187.20.38.214	7
217.115.10.132	7
54.36.222.37	7
176.10.99.200	7
190.166.130.128	7
31.185.104.19	7
65.19.167.130	7
222.187.232.212	7
31.220.0.225	7
222.187.238.32	7
14.101.75.109	7
125.64.94.211	7
23.129.64.102	7
198.20.87.98	7
178.17.174.10	7
188.166.119.195	7
204.8.156.142	7
128.199.196.95	7
159.65.145.175	7
196.52.43.53	7
31.220.40.54	7
212.21.66.6	7
87.120.36.157	7
77.247.181.165	7
117.211.161.42	7
68.183.99.64	7
196.52.43.59	7
196.52.43.58	7
196.52.43.55	7
196.52.43.54	7
196.52.43.57	7
196.52.43.56	7
196.52.43.52	7
89.248.167.131	7
46.182.106.190	7
192.160.102.168	7
192.160.102.169	7
185.220.101.15	7
165.22.127.50	7
196.52.43.51	7
77.247.108.39	7
46.59.11.243	7
46.165.230.5	7
222.185.22.186	7
196.52.43.98	7
196.52.43.92	7
196.52.43.96	7
210.26.64.55	7
196.52.43.62	7
196.52.43.121	7
162.247.73.192	7
185.142.236.35	7
35.194.249.250	7
196.52.43.108	7
196.52.43.109	7
196.52.43.103	7
196.52.43.104	7
196.52.43.105	7
87.118.122.30	7
134.209.40.230	7
196.52.43.110	7
122.228.19.80	7
157.230.42.134	6
77.247.108.55	6
178.128.96.131	6
59.36.132.222	6
162.247.74.202	6
77.247.109.237	6
110.249.212.46	6
144.217.164.104	6
185.165.169.165	6
95.157.32.246	6
92.118.161.29	6
92.118.161.21	6
162.243.148.116	6
14.33.133.188	6
176.10.107.180	6
185.173.35.29	6
185.173.35.25	6
77.120.113.64	6
66.240.236.119	6
185.53.88.244	6
222.108.40.208	6
58.241.250.152	6
190.10.8.50	6
82.245.177.183	6
188.214.104.146	6
195.176.3.23	6
195.176.3.24	6
222.187.221.72	6
82.221.131.5	6
91.203.145.120	6
222.187.225.9	6
120.52.152.18	6
202.29.57.103	6
222.187.221.222	6
107.6.183.162	6
144.217.7.33	6
193.90.12.116	6
144.217.7.154	6
92.118.160.13	6
185.72.244.24	6
54.36.189.105	6
144.217.165.223	6
77.247.110.91	6
96.127.158.234	6
189.199.252.187	6
185.176.27.118	6
46.101.88.10	6
123.185.141.230	6
185.53.88.203	6
185.53.88.209	6
194.61.24.26	6
23.129.64.171	6
164.52.24.164	6
144.217.39.181	6
198.20.99.130	6
193.201.224.76	6
185.254.122.31	6
51.75.161.114	6
185.220.101.35	6
134.209.173.228	6
